name,date,event,role,fee
Jill Morgan,2014-11-08,Regina Folk Festival Concert Series  - Jill Barbe,Host,Unpaid
Janet Stewart,2014-11-08,CBC Music Presents: Gordon Lightfoot,Host,Unpaid
Samantha Craggs,2014-11-08,YWCA Hamilton Leadership Summit for Women,Panelist,Unpaid
Jo-Ann Roberts Kelly,2014-11-07,Victoria Writers Festival Opening Night Gala,Moderator,Unpaid
Sheila Coles,2014-11-07,CBC Music Presents: Gordon Lightfoot,Host,Unpaid
Krissy Holmes,2014-11-07,VON Trivia Challenge,Host,Unpaid
Tom Harrington,2014-11-07,Toronto Chapter of Memorial University Alumni,Host,Unpaid
Gregor Craigie,2014-11-06,"UBC Dialogues (Victoria): ""Your Next Step: Navigating the Intergenerational Workplace""",Moderator,Unpaid
Dani Mario,2014-11-06,CBC Music Presents: Gordon Lightfoot,Host,Unpaid
Rita Celli,2014-11-06,Royal Ottawa Hospital's Conference on Women's Mental Health,Host,Unpaid
Dave Brown,2014-11-06,Serenity Renewal for Families Annual Gala,Host,Unpaid
Hannah Thibedeau,2014-11-06,Canadian American Business Council State of the Relationship Summit,Appearance,Unpaid
Harry Forestell,2014-11-06,Junior Achievement Business Hall of Fame,Host,Unpaid
Peter Mansbridge,2014-11-06,"Strathcona County Speaker Series ""Canada and Canadians in a Changing World""",Speech,Paid
Heather Hiscox,2014-11-06,Canadian Printing Awards,Host,Paid
David Gray,2014-11-05,U of C School of Public Policy,Moderator,Unpaid
Laura Payton,2014-11-05,Library of Parliament and House of Commons : Take Your Kids to Work Day,Panelist,Unpaid
Wendy Mesley,2014-11-05,Ontario Hospital Association: Human Resources Symposium,Moderator,Paid
Dianne Buckner,2014-11-05,CEO of the Year Awards,Host,Paid
Diana Swain,2014-11-05,PMI Regina South Saskatchewan Chapter,Speech,Paid
Andrew Chang,2014-11-04,Moustaches for Movember,Appearance,Unpaid
Terry MacLeod,2014-11-04,Canadian Museum of Human Rights: Canada and Norway - A longstanding partnership,Moderator,Unpaid
Amanda Lang,2014-11-04,"""PwC’s Western Canada Conference",Speech,Paid
Carolina de Ryk,2014-11-03,School Trustees Forum (School District No. 52),Moderator,Unpaid
Gregor Craigie,2014-11-03,Souper Bowls of Hope (Youth Empowerment Society),Appearance,Unpaid
Dani Mario,2014-11-03,An Evening with John Ralston Saul,Host,Unpaid
Jacques Poitras,2014-11-03,Leo Hayes High School political science class,Lecture,Unpaid
Mark Connolly,2014-11-02,Gordon Lightfoot Concert (Edmonton),Host,Unpaid
Laurence Wall,2014-11-02,"Zelikowitz Centre Concert Series, Carleton University",Host,Unpaid
Jo-Ann Roberts Kelly,2014-11-01,Intercultural Association of Greater Victoria panel,Moderator,Unpaid
David Gray,2014-11-01,Humane Society: Cocktail for Critters,Appearance,Unpaid
Gloria Macarenko,2014-11-01,Cystic Fibrosis 65 Roses Gala,Host,Unpaid
Janet Stewart,2014-11-01,Diabetes Assoc. of Manitoba Fundraiser,Host,Unpaid
